,Unnamed: 0,WhiteElo,BlackElo,WhiteName,BlackName,Winner,Termination,Site,Day,Month,Year,InitialTime,Increment,TimeControl,Opening,ECO,Number_of_Moves
3068,3068,1759,1199,masterdak,Nathan,White,Normal,https://lichess.org/abcw70mm,1,1,2013,300,0,Blitz,"Italian Game: Classical Variation, Greco Gambit, Greco Variation",C54,40
3069,3069,1363,1508,GEZ,vytaskas,White,Normal,https://lichess.org/fz58pbeo,1,1,2013,1200,0,Rapid,Bishop's Opening,C23,45
3070,3070,1486,1513,j-jorjik,amirmechanic83,Black,Normal,https://lichess.org/pb0yv8fs,1,1,2013,480,8,Rapid,Nimzowitsch Defense: Kennedy Variation,B00,25
3071,3071,1585,1239,ChikiPuki,Eldorado,White,Time forfeit,https://lichess.org/mt7ff432,1,1,2013,60,0,Bullet,Pirc Defense #4,B07,15
3072,3072,1621,1462,Krieg,Mariss,White,Normal,https://lichess.org/vbyu425j,1,1,2013,60,1,Bullet,Indian Game: Tartakower Attack,A45,31
3073,3073,1818,1955,uxim,Atomicangel,Black,Time forfeit,https://lichess.org/kllwvydf,1,1,2013,180,0,Blitz,Van't Kruijs Opening,A00,39
3074,3074,1414,1412,silvio,Abd0,Black,Time forfeit,https://lichess.org/27w5c7be,1,1,2013,300,2,Blitz,Pirc Defense #4,B07,4
3075,3075,1295,1326,luuletaja,MMatheusBR,Black,Normal,https://lichess.org/ub85oeeb,1,1,2013,1800,0,Classical,King's Pawn Game: Wayward Queen Attack,C20,24
3076,3076,1716,1526,Ashwa,uxim,White,Normal,https://lichess.org/ilwsvzwk,1,1,2013,120,0,Bullet,Horwitz Defense,A40,27
3077,3077,1398,1344,german11,erg57,Black,Time forfeit,https://lichess.org/8q1a6y3p,1,1,2013,240,4,Blitz,Philidor Defense #3,C41,24
3078,3078,1628,1565,ChikiPuki,Beibus,Black,Time forfeit,https://lichess.org/oekdhftp,1,1,2013,60,0,Bullet,Van't Kruijs Opening,A00,31
3079,3079,1610,1315,ChikiPuki,Abd0,Black,Time forfeit,https://lichess.org/qui7apfh,1,1,2013,60,0,Bullet,Pirc Defense #4,B07,30
3080,3080,1963,1796,Atomicangel,Masterstheven,White,Normal,https://lichess.org/yd24ny2i,1,1,2013,180,0,Blitz,Ruy Lopez: Closed,C88,25
3081,3081,1469,1623,kaldere,SilverSerphent,Black,Time forfeit,https://lichess.org/copnj22y,1,1,2013,60,0,Bullet,Sicilian Defense,B20,48
3082,3082,1724,1709,Yarilo,Neuronchess,Black,Normal,https://lichess.org/8xctj6o1,1,1,2013,480,0,Rapid,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",C57,40
3083,3083,1455,1639,kaldere,SilverSerphent,Black,Normal,https://lichess.org/6q6kfpui,1,1,2013,60,0,Bullet,King's Pawn Game: Leonardis Variation,C20,50
3084,3084,1631,1462,SilverSerphent,kaldere,White,Time forfeit,https://lichess.org/gevp7znr,1,1,2013,60,0,Bullet,French Defense: Knight Variation,C00,52
3085,3085,1771,1674,Fisher62,Vitus,White,Time forfeit,https://lichess.org/0x47126d,1,1,2013,300,5,Rapid,French Defense: Knight Variation,C00,48
3086,3086,1686,1278,babak_afshin,alex296,Black,Time forfeit,https://lichess.org/8zg3jn44,1,1,2013,300,2,Blitz,"Ruy Lopez: Berlin Defense, Beverwijk Variation",C65,16
3087,3087,1678,1481,URIAHURIAH,Zaqws,White,Normal,https://lichess.org/qz7zxgqr,1,1,2013,300,0,Blitz,Philidor Defense #2,C41,38
3088,3088,1865,1990,kent777,GennadyN,White,Time forfeit,https://lichess.org/vv51ngu2,1,1,2013,180,0,Blitz,English Defense,A40,21
3089,3089,1631,1476,Krieg,kaldere,White,Time forfeit,https://lichess.org/gybet5ui,1,1,2013,0,1,Bullet,Horwitz Defense,A40,21
3090,3090,1949,1879,GennadyN,kent777,White,Time forfeit,https://lichess.org/dlwr123b,1,1,2013,180,0,Blitz,"Sicilian Defense: Accelerated Dragon, Modern Variation",B34,49
3091,3091,1598,1492,kogaya,tarasss,White,Time forfeit,https://lichess.org/psm0tnzn,1,1,2013,600,2,Rapid,Petrov's Defense #2,C42,13
3092,3092,1589,1527,ChikiPuki,ido,White,Time forfeit,https://lichess.org/mudgqw0c,1,1,2013,60,0,Bullet,Italian Game,C50,22
3093,3093,1871,1972,kent777,GennadyN,White,Normal,https://lichess.org/82wns79f,1,1,2013,180,0,Blitz,French Defense: Knight Variation,C00,35
3094,3094,1498,1253,Kyklades,Batalha,Black,Normal,https://lichess.org/rskbwmre,1,1,2013,120,0,Bullet,Ruy Lopez: Bird Variation,C61,30
3095,3095,1731,1700,ValmadiaN,ido,Black,Normal,https://lichess.org/vhvfq9ke,1,1,2013,600,5,Rapid,"Italian Game: Giuoco Pianissimo, Normal",C50,37
